example_id,sentence,tokens,ner_tags,source,num_tokens,num_locations
0,Monsoon arrived early in Wardha.,"['Monsoon', 'arrived', 'early', 'in', 'Wardha.']","[0, 0, 0, 0, 0]",generated,5,0
1,Mahoba mein bahut garmi hai.,"['Mahoba', 'mein', 'bahut', 'garmi', 'hai.']","[1, 0, 0, 0, 0]",generated,5,1
2,The head of U.S. troops in the Kurnool of Satara says terrorists and insurgents may begin leaving war zones in Thrissur and Rewari and head for east Surguja .,"['The', 'head', 'of', 'U.S.', 'troops', 'in', 'the', 'Kurnool', 'of', 'Satara', 'says', 'terrorists', 'and', 'insurgents', 'may', 'begin', 'leaving', 'war', 'zones', 'in', 'Thrissur', 'and', 'Rewari', 'and', 'head', 'for', 'east', 'Surguja', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",enhanced,29,5
3,Agriculture in West Garo Hills is thriving.,"['Agriculture', 'in', 'West', 'Garo', 'Hills', 'is', 'thriving.']","[0, 0, 1, 2, 2, 0, 0]",generated,7,1
4,We traveled from Anand to Delhi.,"['We', 'traveled', 'from', 'Anand', 'to', 'Delhi.']","[0, 0, 0, 1, 0, 0]",generated,6,1
5,The Purba Medinipur museum displays ancient artifacts.,"['The', 'Purba', 'Medinipur', 'museum', 'displays', 'ancient', 'artifacts.']","[0, 1, 2, 0, 0, 0, 0]",generated,7,1
6,Government officials from Kra Daadi attended the meeting.,"['Government', 'officials', 'from', 'Kra', 'Daadi', 'attended', 'the', 'meeting.']","[0, 0, 0, 1, 2, 0, 0, 0]",generated,8,1
7,"Pakistani officials say unidentified gunmen have killed three people , including a former government minister , in a semi-autonomous tribal region bordering Unakoti .","['Pakistani', 'officials', 'say', 'unidentified', 'gunmen', 'have', 'killed', 'three', 'people', ',', 'including', 'a', 'former', 'government', 'minister', ',', 'in', 'a', 'semi-autonomous', 'tribal', 'region', 'bordering', 'Unakoti', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",enhanced,24,1
8,The conference is in Tapi.,"['The', 'conference', 'is', 'in', 'Tapi.']","[0, 0, 0, 0, 0]",generated,5,0
9,""" The embassy is issuing them travel documents for their return to their homeland .","['""', 'The', 'embassy', 'is', 'issuing', 'them', 'travel', 'documents', 'for', 'their', 'return', 'to', 'their', 'homeland', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,15,0
